사용일자,자치구,노선명,역명,승차총승객수,하차총승객수,등록일자
20230907,강북구,우이신설선,4.19민주묘지,4820,4638,20230910
20230907,송파구,3호선,가락시장,10342,10222,20230910
20230907,송파구,8호선,가락시장,8867,9686,20230910
20230907,금천구,7호선,가산디지털단지,50910,51576,20230910
20230907,금천구,경부선,가산디지털단지,18890,21540,20230910
20230907,강서구,9호선,가양,24799,24073,20230910
20230907,강북구,우이신설선,가오리,4990,4990,20230910
20230907,서대문구,경의선,가좌,6718,6344,20230910
20230907,강남구,2호선,강남,88495,84845,20230910
20230907,강남구,7호선,강남구청,18897,20949,20230910
20230907,강남구,분당선,강남구청,11050,12648,20230910
20230907,강동구,5호선,강동,20222,19692,20230910
20230907,강동구,8호선,강동구청,12107,12567,20230910
20230907,광진구,2호선,강변(동서울터미널),32720,29927,20230910
20230907,강동구,5호선,강일,6377,5990,20230910
20230907,송파구,5호선,개롱,7509,7695,20230910
20230907,구로구,경인선,개봉,24637,24255,20230910
20230907,강남구,분당선,개포동,5542,5732,20230910
20230907,강서구,9호선,개화,3304,2097,20230910
20230907,강서구,5호선,개화산,6695,6422,20230910
20230907,송파구,5호선,거여,11679,11229,20230910
20230907,광진구,2호선,건대입구,38027,40145,20230910
20230907,광진구,7호선,건대입구,15605,16057,20230910
20230907,종로구,3호선,경복궁(정부서울청사),28796,29203,20230910
20230907,송파구,3호선,경찰병원,8429,8500,20230910
20230907,강동구,5호선,고덕,11703,11588,20230910
20230907,성북구,6호선,고려대(종암),11053,10701,20230910
20230907,서초구,3호선,고속터미널,46116,41955,20230910
20230907,서초구,7호선,고속터미널,17224,15125,20230910
20230907,서초구,9호선,고속터미널,15352,19399,20230910
20230907,마포구,5호선,공덕,16657,17460,20230910
20230907,마포구,6호선,공덕,21708,21121,20230910
20230907,마포구,경의선,공덕,4440,3741,20230910
20230907,마포구,공항철도 1호선,공덕,2978,3968,20230910
20230907,노원구,7호선,공릉(서울과학기술대),13951,13709,20230910
20230907,강서구,9호선,공항시장,3309,3667,20230910
20230907,관악구,신림선,관악산(서울대),3508,3660,20230910
20230907,광진구,5호선,광나루(장신대),15496,14344,20230910
20230907,노원구,경원선,광운대,10632,10189,20230910
20230907,종로구,5호선,광화문(세종문화회관),37567,39957,20230910
20230907,마포구,6호선,광흥창(서강),10927,10473,20230910
20230907,서초구,2호선,교대(법원.검찰청),35992,42919,20230910
20230907,서초구,3호선,교대(법원.검찰청),19304,11916,20230910
20230907,구로구,경부선,구로,19314,19795,20230910
20230907,구로구,2호선,구로디지털단지,64765,64435,20230910
20230907,강남구,분당선,구룡,3285,3047,20230910
20230907,서초구,9호선,구반포,1211,1262,20230910
20230907,은평구,6호선,구산,8917,6770,20230910
20230907,광진구,2호선,구의(광진구청),27311,26462,20230910
20230907,구로구,경인선,구일,7856,7758,20230910
20230907,은평구,3호선,구파발,23717,22847,20230910
20230907,영등포구,9호선,국회의사당,19807,20704,20230910
20230907,광진구,5호선,군자(능동),12792,14244,20230910
20230907,광진구,7호선,군자(능동),17006,13286,20230910
20230907,강동구,5호선,굽은다리(강동구민회관앞),10664,10123,20230910
20230907,금천구,경부선,금천구청,12554,12595,20230910
20230907,성동구,3호선,금호,8950,8313,20230910
20230907,강동구,5호선,길동,8910,9254,20230910
20230907,성북구,4호선,길음,25244,25240,20230910
20230907,강서구,5호선,김포공항,9327,7569,20230910
20230907,강서구,9호선,김포공항,7174,10718,20230910
20230907,강서구,공항철도 1호선,김포공항,11480,6312,20230910
20230907,강서구,서해선,김포공항,2773,3691,20230910
20230907,강서구,5호선,까치산,31192,30079,20230910
20230907,관악구,2호선,낙성대(강감찬),30516,29863,20230910
20230907,구로구,7호선,남구로,17089,17814,20230910
20230907,서초구,3호선,남부터미널(예술의전당),32158,32353,20230910
20230907,동작구,7호선,남성,13309,12461,20230910
20230907,용산구,경부선,남영,11226,12153,20230910
20230907,서초구,4호선,남태령,1546,1312,20230910
20230907,서초구,7호선,내방,16909,17292,20230910
20230907,동작구,9호선,노들,5384,4411,20230910
20230907,동작구,9호선,노량진,28345,27628,20230910
20230907,동작구,경부선,노량진,9034,9187,20230910
20230907,노원구,4호선,노원,20425,23809,20230910
20230907,노원구,7호선,노원,21895,22496,20230910
20230907,은평구,3호선,녹번,18184,16336,20230910
20230907,용산구,6호선,녹사평(용산구청),5522,5374,20230910
20230907,노원구,경원선,녹천,5158,4314,20230910
20230907,강남구,7호선,논현,20188,20421,20230910
20230907,성동구,5호선,답십리,17862,16227,20230910
20230907,노원구,4호선,당고개,10653,9180,20230910
20230907,관악구,신림선,당곡,5026,4899,20230910
20230907,영등포구,2호선,당산,20642,24611,20230910
20230907,영등포구,9호선,당산,22056,22052,20230910
20230907,구로구,2호선,대림(구로구청),25635,26260,20230910
20230907,영등포구,7호선,대림(구로구청),8573,8578,20230910
20230907,강남구,분당선,대모산입구,6885,6392,20230910
20230907,영등포구,경부선,대방,12197,13579,20230910
20230907,영등포구,신림선,대방,3159,2235,20230910
20230907,강남구,3호선,대청,11985,11154,20230910
20230907,강남구,3호선,대치,13577,13646,20230910
20230907,마포구,6호선,대흥(서강대앞),11333,11870,20230910
20230907,강남구,3호선,도곡,5832,5998,20230910
20230907,강남구,분당선,도곡,8856,8535,20230910
20230907,구로구,2호선,도림천,1456,1479,20230910
20230907,도봉구,경원선,도봉,6679,6481,20230910
20230907,도봉구,7호선,도봉산,10678,12188,20230910
20230907,도봉구,경원선,도봉산,8092,5247,20230910
20230907,종로구,3호선,독립문,7926,8201,20230910
20230907,은평구,6호선,독바위,3122,3174,20230910
20230907,금천구,경부선,독산,20299,20953,20230910
20230907,성북구,6호선,돌곶이,11618,10451,20230910
20230907,종로구,1호선,동대문,11907,11537,20230910
20230907,종로구,4호선,동대문,22670,23277,20230910
20230907,중구,2호선,동대문역사문화공원(DDP),17921,20361,20230910
20230907,중구,4호선,동대문역사문화공원(DDP),22286,19486,20230910
20230907,중구,5호선,동대문역사문화공원(DDP),3516,4132,20230910
20230907,중구,3호선,동대입구,14367,16374,20230910
20230907,종로구,1호선,동묘앞,8602,8758,20230910
20230907,종로구,6호선,동묘앞,8694,9105,20230910
20230907,동작구,4호선,동작(현충원),1574,1669,20230910
20230907,동작구,9호선,동작(현충원),2051,1588,20230910
20230907,강동구,5호선,둔촌동,9578,9472,20230910
20230907,송파구,9호선2~3단계,둔촌오륜,1305,1205,20230910
20230907,양천구,9호선,등촌,13294,12580,20230910
20230907,마포구,6호선,디지털미디어시티,16729,18588,20230910
20230907,은평구,경의선,디지털미디어시티,3146,2908,20230910
20230907,마포구,공항철도 1호선,디지털미디어시티,16822,15817,20230910
20230907,성동구,2호선,뚝섬,25512,27396,20230910
20230907,광진구,7호선,뚝섬유원지,10577,10149,20230910
20230907,강서구,5호선,마곡,13198,13480,20230910
20230907,강서구,9호선,마곡나루(서울식물원),14666,14557,20230910
